Epoch 158 loss = 88.58122 	 PPV@L = 0.83 	 First Error = 24
Epoch 159 loss = 88.62983 	 PPV@L = 0.83 	 First Error = 24
Epoch 160 loss = 88.63364 	 PPV@L = 0.83 	 First Error = 24
Epoch 161 loss = 88.38354 	 PPV@L = 0.849 	 First Error = 24
Epoch 162 loss = 88.479 	 PPV@L = 0.83 	 First Error = 22
Epoch 163 loss = 88.29902 	 PPV@L = 0.83 	 First Error = 23
Epoch 164 loss = 88.32715 	 PPV@L = 0.83 	 First Error = 22
Epoch 165 loss = 88.29296 	 PPV@L = 0.849 	 First Error = 23
Epoch 166 loss = 88.29953 	 PPV@L = 0.83 	 First Error = 23
Epoch 167 loss = 88.31425 	 PPV@L = 0.83 	 First Error = 23
Epoch 168 loss = 88.28165 	 PPV@L = 0.83 	 First Error = 22
Epoch 169 loss = 88.43467 	 PPV@L = 0.849 	 First Error = 22
Epoch 170 loss = 88.34885 	 PPV@L = 0.849 	 First Error = 23
Epoch 171 loss = 88.182 	 PPV@L = 0.849 	 First Error = 23
Epoch 172 loss = 88.15557 	 PPV@L = 0.849 	 First Error = 23
Epoch 173 loss = 88.0189 	 PPV@L = 0.849 	 First Error = 23
Epoch 174 loss = 87.989 	 PPV@L = 0.849 	 First Error = 23
Epoch 175 loss = 87.85824 	 PPV@L = 0.849 	 First Error = 23
Epoch 176 loss = 87.79279 	 PPV@L = 0.849 	 First Error = 23
Epoch 177 loss = 87.85558 	 PPV@L = 0.83 	 First Error = 23
Epoch 178 loss = 87.89167 	 PPV@L = 0.849 	 First Error = 23
Epoch 179 loss = 87.85369 	 PPV@L = 0.849 	 First Error = 23
Epoch 180 loss = 87.6772 	 PPV@L = 0.849 	 First Error = 23
Epoch 181 loss = 87.58125 	 PPV@L = 0.849 	 First Error = 23
Epoch 182 loss = 87.564 	 PPV@L = 0.849 	 First Error = 23
Epoch 183 loss = 87.56467 	 PPV@L = 0.849 	 First Error = 25
Epoch 184 loss = 87.61576 	 PPV@L = 0.849 	 First Error = 24
Epoch 185 loss = 87.53346 	 PPV@L = 0.849 	 First Error = 25
Epoch 186 loss = 87.40494 	 PPV@L = 0.849 	 First Error = 26
Epoch 187 loss = 87.22571 	 PPV@L = 0.849 	 First Error = 26
Epoch 188 loss = 87.46334 	 PPV@L = 0.849 	 First Error = 26
Epoch 189 loss = 87.40308 	 PPV@L = 0.849 	 First Error = 26
Epoch 190 loss = 87.2674 	 PPV@L = 0.849 	 First Error = 26
Epoch 191 loss = 87.0901 	 PPV@L = 0.849 	 First Error = 26
Epoch 192 loss = 86.98668 	 PPV@L = 0.849 	 First Error = 26
Epoch 193 loss = 87.14414 	 PPV@L = 0.849 	 First Error = 25
Epoch 194 loss = 87.01373 	 PPV@L = 0.849 	 First Error = 26
Epoch 195 loss = 87.03329 	 PPV@L = 0.868 	 First Error = 28
Epoch 196 loss = 86.83024 	 PPV@L = 0.887 	 First Error = 26
Epoch 197 loss = 86.9495 	 PPV@L = 0.868 	 First Error = 26
Epoch 198 loss = 86.9891 	 PPV@L = 0.868 	 First Error = 26
Epoch 199 loss = 86.91561 	 PPV@L = 0.868 	 First Error = 27
Epoch 200 loss = 86.96436 	 PPV@L = 0.868 	 First Error = 25
Epoch 201 loss = 86.74558 	 PPV@L = 0.868 	 First Error = 26
Epoch 202 loss = 86.83163 	 PPV@L = 0.868 	 First Error = 26
Epoch 203 loss = 86.68943 	 PPV@L = 0.868 	 First Error = 26
Epoch 204 loss = 86.53112 	 PPV@L = 0.868 	 First Error = 29
Epoch 205 loss = 86.38103 	 PPV@L = 0.887 	 First Error = 30
Epoch 206 loss = 86.48827 	 PPV@L = 0.887 	 First Error = 26
Epoch 207 loss = 86.56918 	 PPV@L = 0.868 	 First Error = 28
Epoch 208 loss = 86.45482 	 PPV@L = 0.868 	 First Error = 27
Epoch 209 loss = 86.32543 	 PPV@L = 0.868 	 First Error = 29
Epoch 210 loss = 86.40164 	 PPV@L = 0.868 	 First Error = 28
Epoch 211 loss = 86.24589 	 PPV@L = 0.868 	 First Error = 30
Epoch 212 loss = 86.46924 	 PPV@L = 0.887 	 First Error = 32
Epoch 213 loss = 86.31462 	 PPV@L = 0.887 	 First Error = 34
Epoch 214 loss = 86.48313 	 PPV@L = 0.887 	 First Error = 31
Epoch 215 loss = 86.21078 	 PPV@L = 0.887 	 First Error = 32
Epoch 216 loss = 86.06942 	 PPV@L = 0.868 	 First Error = 30
Epoch 217 loss = 85.92497 	 PPV@L = 0.849 	 First Error = 31
Epoch 218 loss = 85.8564 	 PPV@L = 0.868 	 First Error = 31
Epoch 219 loss = 86.03633 	 PPV@L = 0.887 	 First Error = 30
Epoch 220 loss = 85.89309 	 PPV@L = 0.887 	 First Error = 32
Epoch 221 loss = 85.90255 	 PPV@L = 0.906 	 First Error = 35
Epoch 222 loss = 85.72994 	 PPV@L = 0.887 	 First Error = 34
Epoch 223 loss = 85.55295 	 PPV@L = 0.887 	 First Error = 33
Epoch 224 loss = 85.8686 	 PPV@L = 0.906 	 First Error = 33
Epoch 225 loss = 85.56741 	 PPV@L = 0.887 	 First Error = 34
Epoch 226 loss = 85.66381 	 PPV@L = 0.906 	 First Error = 33
Epoch 227 loss = 85.80783 	 PPV@L = 0.906 	 First Error = 35
Epoch 228 loss = 85.76601 	 PPV@L = 0.906 	 First Error = 34
Epoch 229 loss = 85.49126 	 PPV@L = 0.906 	 First Error = 35
Epoch 230 loss = 85.36925 	 PPV@L = 0.887 	 First Error = 35
Epoch 231 loss = 85.55432 	 PPV@L = 0.906 	 First Error = 36
Epoch 232 loss = 85.42752 	 PPV@L = 0.906 	 First Error = 36
Epoch 233 loss = 85.43013 	 PPV@L = 0.887 	 First Error = 36
Epoch 234 loss = 85.14334 	 PPV@L = 0.887 	 First Error = 34
Epoch 235 loss = 85.20342 	 PPV@L = 0.906 	 First Error = 36
Epoch 236 loss = 84.99628 	 PPV@L = 0.906 	 First Error = 36
Epoch 237 loss = 85.13014 	 PPV@L = 0.887 	 First Error = 35
Epoch 238 loss = 85.12549 	 PPV@L = 0.906 	 First Error = 36
Epoch 239 loss = 85.01212 	 PPV@L = 0.906 	 First Error = 36
Epoch 240 loss = 84.84035 	 PPV@L = 0.906 	 First Error = 36
Epoch 241 loss = 85.19166 	 PPV@L = 0.906 	 First Error = 36
Epoch 242 loss = 84.96478 	 PPV@L = 0.887 	 First Error = 36
Epoch 243 loss = 84.85812 	 PPV@L = 0.887 	 First Error = 36
Epoch 244 loss = 84.83509 	 PPV@L = 0.887 	 First Error = 35
Epoch 245 loss = 84.70058 	 PPV@L = 0.887 	 First Error = 36
Epoch 246 loss = 84.5851 	 PPV@L = 0.906 	 First Error = 36
Epoch 247 loss = 84.76638 	 PPV@L = 0.887 	 First Error = 36
Epoch 248 loss = 84.97674 	 PPV@L = 0.887 	 First Error = 37
Epoch 249 loss = 84.66745 	 PPV@L = 0.887 	 First Error = 36
Epoch 250 loss = 84.58273 	 PPV@L = 0.906 	 First Error = 37
Epoch 251 loss = 84.39138 	 PPV@L = 0.906 	 First Error = 37
Epoch 252 loss = 84.50138 	 PPV@L = 0.906 	 First Error = 36
Epoch 253 loss = 84.43513 	 PPV@L = 0.906 	 First Error = 36
Epoch 254 loss = 84.32391 	 PPV@L = 0.906 	 First Error = 36
Epoch 255 loss = 84.22031 	 PPV@L = 0.906 	 First Error = 37
Epoch 256 loss = 84.19931 	 PPV@L = 0.906 	 First Error = 38
