Epoch 151 loss = 96.79221 	 PPV@L = 0.736 	 PPV@2L = 0.689 	 First Error = 21
Epoch 152 loss = 96.77793 	 PPV@L = 0.717 	 PPV@2L = 0.698 	 First Error = 21
Epoch 153 loss = 96.76515 	 PPV@L = 0.717 	 PPV@2L = 0.689 	 First Error = 21
Epoch 154 loss = 96.7513 	 PPV@L = 0.755 	 PPV@2L = 0.679 	 First Error = 21
Epoch 155 loss = 96.73799 	 PPV@L = 0.736 	 PPV@2L = 0.679 	 First Error = 21
Epoch 156 loss = 96.72423 	 PPV@L = 0.736 	 PPV@2L = 0.698 	 First Error = 21
Epoch 157 loss = 96.71085 	 PPV@L = 0.736 	 PPV@2L = 0.679 	 First Error = 21
Epoch 158 loss = 96.69903 	 PPV@L = 0.736 	 PPV@2L = 0.679 	 First Error = 23
Epoch 159 loss = 96.68925 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 21
Epoch 160 loss = 96.67548 	 PPV@L = 0.717 	 PPV@2L = 0.67 	 First Error = 21
Epoch 161 loss = 96.66114 	 PPV@L = 0.736 	 PPV@2L = 0.689 	 First Error = 21
Epoch 162 loss = 96.6501 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 21
Epoch 163 loss = 96.63704 	 PPV@L = 0.717 	 PPV@2L = 0.67 	 First Error = 21
Epoch 164 loss = 96.62688 	 PPV@L = 0.717 	 PPV@2L = 0.679 	 First Error = 21
Epoch 165 loss = 96.61454 	 PPV@L = 0.736 	 PPV@2L = 0.698 	 First Error = 21
Epoch 166 loss = 96.60273 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 21
Epoch 167 loss = 96.59081 	 PPV@L = 0.736 	 PPV@2L = 0.679 	 First Error = 22
Epoch 168 loss = 96.58073 	 PPV@L = 0.736 	 PPV@2L = 0.66 	 First Error = 21
Epoch 169 loss = 96.57032 	 PPV@L = 0.736 	 PPV@2L = 0.708 	 First Error = 22
Epoch 170 loss = 96.55894 	 PPV@L = 0.736 	 PPV@2L = 0.689 	 First Error = 21
Epoch 171 loss = 96.5478 	 PPV@L = 0.736 	 PPV@2L = 0.698 	 First Error = 21
Epoch 172 loss = 96.53777 	 PPV@L = 0.698 	 PPV@2L = 0.67 	 First Error = 21
Epoch 173 loss = 96.52845 	 PPV@L = 0.717 	 PPV@2L = 0.689 	 First Error = 21
Epoch 174 loss = 96.51764 	 PPV@L = 0.736 	 PPV@2L = 0.689 	 First Error = 21
Epoch 175 loss = 96.50716 	 PPV@L = 0.717 	 PPV@2L = 0.698 	 First Error = 21
Epoch 176 loss = 96.49828 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 21
Epoch 177 loss = 96.49014 	 PPV@L = 0.717 	 PPV@2L = 0.679 	 First Error = 21
Epoch 178 loss = 96.47809 	 PPV@L = 0.736 	 PPV@2L = 0.698 	 First Error = 21
Epoch 179 loss = 96.46941 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 21
Epoch 180 loss = 96.46095 	 PPV@L = 0.717 	 PPV@2L = 0.698 	 First Error = 21
Epoch 181 loss = 96.45042 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 22
Epoch 182 loss = 96.44234 	 PPV@L = 0.736 	 PPV@2L = 0.698 	 First Error = 21
Epoch 183 loss = 96.4336 	 PPV@L = 0.717 	 PPV@2L = 0.679 	 First Error = 21
Epoch 184 loss = 96.4225 	 PPV@L = 0.717 	 PPV@2L = 0.689 	 First Error = 21
Epoch 185 loss = 96.41446 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 21
Epoch 186 loss = 96.40784 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 22
Epoch 187 loss = 96.39858 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 22
Epoch 188 loss = 96.38786 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 22
Epoch 189 loss = 96.38011 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 21
Epoch 190 loss = 96.37059 	 PPV@L = 0.792 	 PPV@2L = 0.698 	 First Error = 21
Epoch 191 loss = 96.36335 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 21
Epoch 192 loss = 96.35538 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 21
Epoch 193 loss = 96.34845 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 21
Epoch 194 loss = 96.34328 	 PPV@L = 0.755 	 PPV@2L = 0.679 	 First Error = 21
Epoch 195 loss = 96.33334 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 22
Epoch 196 loss = 96.324 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 21
Epoch 197 loss = 96.31482 	 PPV@L = 0.792 	 PPV@2L = 0.698 	 First Error = 22
Epoch 198 loss = 96.30857 	 PPV@L = 0.736 	 PPV@2L = 0.689 	 First Error = 21
Epoch 199 loss = 96.30271 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 22
Epoch 200 loss = 96.2935 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 22
Epoch 201 loss = 96.28433 	 PPV@L = 0.755 	 PPV@2L = 0.679 	 First Error = 21
Epoch 202 loss = 96.27776 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 22
Epoch 203 loss = 96.27133 	 PPV@L = 0.755 	 PPV@2L = 0.679 	 First Error = 22
Epoch 204 loss = 96.26283 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 21
Epoch 205 loss = 96.25574 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 21
Epoch 206 loss = 96.24975 	 PPV@L = 0.736 	 PPV@2L = 0.689 	 First Error = 22
Epoch 207 loss = 96.24013 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 22
Epoch 208 loss = 96.23292 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 22
Epoch 209 loss = 96.22677 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 21
Epoch 210 loss = 96.22116 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 21
Epoch 211 loss = 96.21637 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 22
Epoch 212 loss = 96.20881 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 22
Epoch 213 loss = 96.19964 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 22
Epoch 214 loss = 96.19398 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 22
Epoch 215 loss = 96.1864 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 21
