Epoch 117 loss = 102.21025 	 PPV@L = 0.887 	 First Error = 23
Epoch 118 loss = 102.19155 	 PPV@L = 0.849 	 First Error = 25
Epoch 119 loss = 102.09616 	 PPV@L = 0.849 	 First Error = 24
Epoch 120 loss = 102.06398 	 PPV@L = 0.849 	 First Error = 23
Epoch 121 loss = 102.03391 	 PPV@L = 0.849 	 First Error = 26
Epoch 122 loss = 102.01873 	 PPV@L = 0.849 	 First Error = 31
Epoch 123 loss = 101.93534 	 PPV@L = 0.849 	 First Error = 26
Epoch 124 loss = 101.9424 	 PPV@L = 0.849 	 First Error = 29
Epoch 125 loss = 101.89097 	 PPV@L = 0.868 	 First Error = 26
Epoch 126 loss = 101.82115 	 PPV@L = 0.868 	 First Error = 25
Epoch 127 loss = 101.75128 	 PPV@L = 0.868 	 First Error = 26
Epoch 128 loss = 101.72339 	 PPV@L = 0.887 	 First Error = 32
Epoch 129 loss = 101.62246 	 PPV@L = 0.868 	 First Error = 26
Epoch 130 loss = 101.64507 	 PPV@L = 0.868 	 First Error = 26
Epoch 131 loss = 101.5923 	 PPV@L = 0.868 	 First Error = 29
Epoch 132 loss = 101.63803 	 PPV@L = 0.868 	 First Error = 28
Epoch 133 loss = 101.56257 	 PPV@L = 0.887 	 First Error = 27
Epoch 134 loss = 101.47697 	 PPV@L = 0.887 	 First Error = 28
Epoch 135 loss = 101.42225 	 PPV@L = 0.887 	 First Error = 29
Epoch 136 loss = 101.39765 	 PPV@L = 0.887 	 First Error = 25
Epoch 137 loss = 101.36626 	 PPV@L = 0.887 	 First Error = 21
Epoch 138 loss = 101.34799 	 PPV@L = 0.868 	 First Error = 29
Epoch 139 loss = 101.28176 	 PPV@L = 0.887 	 First Error = 30
Epoch 140 loss = 101.25888 	 PPV@L = 0.887 	 First Error = 29
Epoch 141 loss = 101.21381 	 PPV@L = 0.887 	 First Error = 27
Epoch 142 loss = 101.25 	 PPV@L = 0.906 	 First Error = 28
Epoch 143 loss = 101.11807 	 PPV@L = 0.887 	 First Error = 28
Epoch 144 loss = 101.03836 	 PPV@L = 0.887 	 First Error = 28
Epoch 145 loss = 101.01307 	 PPV@L = 0.906 	 First Error = 30
Epoch 146 loss = 100.94866 	 PPV@L = 0.925 	 First Error = 26
Epoch 147 loss = 100.92212 	 PPV@L = 0.887 	 First Error = 28
Epoch 148 loss = 100.9036 	 PPV@L = 0.906 	 First Error = 29
Epoch 149 loss = 100.88501 	 PPV@L = 0.887 	 First Error = 28
Epoch 150 loss = 100.81241 	 PPV@L = 0.906 	 First Error = 28
Epoch 151 loss = 100.77703 	 PPV@L = 0.906 	 First Error = 25
Epoch 152 loss = 100.77238 	 PPV@L = 0.906 	 First Error = 28
Epoch 153 loss = 100.69353 	 PPV@L = 0.887 	 First Error = 28
Epoch 154 loss = 100.61205 	 PPV@L = 0.887 	 First Error = 28
Epoch 155 loss = 100.57177 	 PPV@L = 0.906 	 First Error = 26
Epoch 156 loss = 100.58709 	 PPV@L = 0.906 	 First Error = 28
Epoch 157 loss = 100.49747 	 PPV@L = 0.887 	 First Error = 30
Epoch 158 loss = 100.50317 	 PPV@L = 0.906 	 First Error = 25
Epoch 159 loss = 100.41749 	 PPV@L = 0.906 	 First Error = 28
