Epoch 196 loss = 87.92793 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 197 loss = 87.85593 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 198 loss = 87.88074 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 199 loss = 87.83876 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 200 loss = 87.75096 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 201 loss = 87.70837 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 202 loss = 87.70687 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 203 loss = 87.66439 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 204 loss = 87.67192 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 205 loss = 87.64717 	 PPV@L = 0.925 	 PPV@2L = 0.736 	 First Error = 23
Epoch 206 loss = 87.55974 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 207 loss = 87.5578 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 208 loss = 87.50551 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 209 loss = 87.48079 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 210 loss = 87.47805 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 211 loss = 87.44043 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 212 loss = 87.37841 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 213 loss = 87.31234 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 214 loss = 87.27579 	 PPV@L = 0.925 	 PPV@2L = 0.736 	 First Error = 23
Epoch 215 loss = 87.19779 	 PPV@L = 0.925 	 PPV@2L = 0.726 	 First Error = 23
Epoch 216 loss = 87.25626 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 217 loss = 87.20165 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 218 loss = 87.1161 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 219 loss = 87.12253 	 PPV@L = 0.925 	 PPV@2L = 0.736 	 First Error = 23
Epoch 220 loss = 87.10691 	 PPV@L = 0.925 	 PPV@2L = 0.726 	 First Error = 25
